"theta1","theta2","k","lambda","R12"
0.372138489987427,2.31920646306904,1.45083389334833,10.1676027356822,0.280337194164597
0.372138489987427,2.31920646306904,1.45083389334833,10.1676027356822,0.280337194164597
0.380068497864513,2.33154649504767,1.46238475623648,10.2938486156664,0.286100881731559
0.380068497864513,2.33154649504767,1.46238475623648,10.2938486156664,0.286100881731559
0.380068497864513,2.33154649504767,1.46238475623648,10.2938486156664,0.286100881731559
0.380068497864513,2.33154649504767,1.46238475623648,10.2938486156664,0.286100881731559
0.376223185577144,2.27690698067581,1.45677222804204,9.74648766553667,0.258224611071317
0.4282009981365,2.27861434871145,1.53449448050373,9.76314272114542,0.253500142286192
0.4282009981365,2.27861434871145,1.53449448050373,9.76314272114542,0.253500142286192
0.4282009981365,2.27861434871145,1.53449448050373,9.76314272114542,0.253500142286192
0.432276842047526,2.33129195806,1.54076160372054,10.2912287838844,0.281664062291713
0.444899631303566,2.368344458854,1.56033357932574,10.6796969627377,0.301355293965898
0.459503109318784,2.3622466267144,1.5832870689148,10.6147721149468,0.296903993381037
0.459503109318784,2.3622466267144,1.5832870689148,10.6147721149468,0.296903993381037
0.425811220303504,2.34102501748651,1.53083175789917,10.3918829671835,0.287538368231471
0.425811220303504,2.34102501748651,1.53083175789917,10.3918829671835,0.287538368231471
0.371104571720693,2.31454026775004,1.44933462487809,10.1202692349554,0.278016723734424
0.371104571720693,2.31454026775004,1.44933462487809,10.1202692349554,0.278016723734424
0.407211859177126,2.28087444646851,1.50262241629089,9.78523333217825,0.256975447565506
0.407211859177126,2.28087444646851,1.50262241629089,9.78523333217825,0.256975447565506
0.407211859177126,2.28087444646851,1.50262241629089,9.78523333217825,0.256975447565506
0.407211859177126,2.28087444646851,1.50262241629089,9.78523333217825,0.256975447565506
0.445796932167083,2.31377358764745,1.56173429633215,10.112513199479,0.270797011723637
0.445796932167083,2.31377358764745,1.56173429633215,10.112513199479,0.270797011723637
0.447553689717684,2.31608453484713,1.56448029617102,10.1359097071738,0.271910314657144
